sentence,url,date_published,type
What are the channels that emit disinformation narratives?,https://euvsdisinfo.eu/figure-of-the-week-5014/,2019-03-12,news
"And based on the impression one could get from the narratives mentioned above, nothing has changed.",https://euvsdisinfo.eu/figure-of-the-week-5014/,2019-03-12,news
The catalyst for this kind of narrative was the unscheduled landing of a Ryanair flight from Dublin to Krakow in Berlin on 30 May 2021 due to a possible security threat on board.,https://euvsdisinfo.eu/the-world-of-hate-how-the-pro-kremlin-media-continue-to-justify-the-forced-diversion-of-a-ryanair-flight/,2021-06-03,news
"But for pro-Kremlin outlets, such messages help to kill two birds with one stone: not only to discredit the jailed Belarusian dissident, but also to perpetuate the narrative of “Nazi Ukraine”.",https://euvsdisinfo.eu/the-world-of-hate-how-the-pro-kremlin-media-continue-to-justify-the-forced-diversion-of-a-ryanair-flight/,2021-06-03,news
"As we have previously described, pro-Kremlin international media such as Sputnik and RT, but also Kremlin-controlled media inside Russia, have a long track record of identifying commentators from Western countries who are not particularly well known in their own country, and presenting them as international authorities in a given field, provided that what they say confirms the pro-Kremlin narrative.",https://euvsdisinfo.eu/meet-the-singing-soap-salesman-expert-commentator/,2018-03-07,news
"Recurring disinformation narrative about NATO and its military exercises, part of consistent disinformation attacks on the alliance without any clear proof.",https://euvsdisinfo.eu/report/nato-wants-to-transform-the-black-sea-into-a-military-conflict-zone,2021-10-22,claim
"For example, when you read about the pandemic, you cannot avoid extravagant narratives of Satan pulling the strings, or wild scenarios in which Western leaders emerge as dictators.",https://euvsdisinfo.eu/flooding-the-mind-with-hyperboles/,2021-02-11,news
"If chaos is the goal, the means is a massive number of disinformation narratives, like an incoming tsunami.",https://euvsdisinfo.eu/flooding-the-mind-with-hyperboles/,2021-02-11,news
"As we already reported, a stream of interconnected disinformation narratives already sprang up during Borrell’s joint press conference with Russian Foreign Minister Sergei Lavrov, produced by the pro-Kremlin disinformation ecosystem and flowing seamlessly after the conference had ended.",https://euvsdisinfo.eu/flooding-the-mind-with-hyperboles/,2021-02-11,news
"A number of narratives framed the EU’s behaviour as aggressive towards Russia, the hero and victim of a great many false stories.",https://euvsdisinfo.eu/flooding-the-mind-with-hyperboles/,2021-02-11,news
One narrative claimed that Borrell’s mission was to publicly flog Russia.,https://euvsdisinfo.eu/flooding-the-mind-with-hyperboles/,2021-02-11,news
"According to this narrative, the West is afraid to start a war with Russia, so it uses a “nosy fifth column” to destabilise the country.",https://euvsdisinfo.eu/flooding-the-mind-with-hyperboles/,2021-02-11,news
"In a similar narrative, Navalny is presented as a Western project to influence Russia and his poisoning is described as a set-up against Russia.",https://euvsdisinfo.eu/flooding-the-mind-with-hyperboles/,2021-02-11,news
This narrative suggests that Russia had reasons to believe that the situation regarding Navalny is a “simulation”.,https://euvsdisinfo.eu/flooding-the-mind-with-hyperboles/,2021-02-11,news
"Grand narratives, hyperbolized
Things get really out of proportion when the grand narratives themselves get hyperbolized.",https://euvsdisinfo.eu/flooding-the-mind-with-hyperboles/,2021-02-11,news
"For example, we spotted a narrative claiming that liberals want to kill Christians.",https://euvsdisinfo.eu/flooding-the-mind-with-hyperboles/,2021-02-11,news
"The article is in line with a narrative that protests, in this case in Russia, are always financed by outside forces.",https://euvsdisinfo.eu/report/navalny-is-financed-by-the-west-as-a-fifth-column-in-russia,2019-08-09,claim
"The main disinformation narratives continue to be recycled with slight variations: Ukrainian pilots shot down the aircraft, Ukraine destroyed evidence to cover up its responsibility, the Joint Investigation Team (JIT) is lying to victimise Russia.",https://euvsdisinfo.eu/figure-of-the-week-4/,2018-07-17,news
"Recurring pro-Kremlin disinformation narratives about the UK and chemical nerve agent ""Novichok"".",https://euvsdisinfo.eu/report/uk-leaving-eu-means-the-country-no-longer-need-to-comply-with-opcw-standards,2020-11-25,claim
Recurring pro-Kremlin narrative claiming that the US is entirely responsible for the demise of the INF treaty.,https://euvsdisinfo.eu/report/the-us-has-unilaterally-withdrew-from-the-inf-treaty,2019-08-02,claim
"For example, in the well-known disinformation narrative about the inevitable Islamisation of Europe, they play a substantial role.",https://euvsdisinfo.eu/faces-of-western-women/,2019-03-08,news
"This absurd and deceitful narrative portrays women as victims of Islamisation, falling prey to moral and social decay.",https://euvsdisinfo.eu/faces-of-western-women/,2019-03-08,news
The values-based narrative is just one of the many faces of disinformation on women.,https://euvsdisinfo.eu/faces-of-western-women/,2019-03-08,news
"Again, these types of messages feed into a wider narrative of the evil, decaying, immoral West, going towards a level of gender annihilation which, apparently, would not even spare Santa Claus.",https://euvsdisinfo.eu/faces-of-western-women/,2019-03-08,news
"A distinctive example of this anti-feminist narrative is the story by In The Now, controlled by RT, which has tried to discredit feminist activists through promoting a video with an alleged feminist who punishes men for “manspreading” on a metro train.",https://euvsdisinfo.eu/faces-of-western-women/,2019-03-08,news
"Female snipers have been a theme of another narrative: they were used as ‘proof’ of increased violence in Ukraine – women from the Baltic States were supposedly arriving in Donbas, whereas Polish snipers allegedly appeared in Mariinka to support the Ukrainian army.",https://euvsdisinfo.eu/faces-of-western-women/,2019-03-08,news
"Similar conclusions about inconsistencies, including the use of doctored images, are found in Bellingcat’s recent update of its ongoing open source investigation, The Kremlin’s Shifting, Self-Contradicting Narratives on MH17, which it published on 5 January, 2018.",https://euvsdisinfo.eu/flight-mh17-why-can-the-kremlin-not-tell-the-truth/,2018-01-07,news
"“Counter-narratives designed to create confusion”
In a concise study called “Russian hybrid warfare: A study of disinformation”, Flemming Splidsboel Hansen of the Danish Institute of International Studies compares the communication strategy applied by the Kremlin in the MH17 case to the way the Soviet government handled its downing of another civilian airliner, Korean Airlines Flight 007, in 1983.",https://euvsdisinfo.eu/flight-mh17-why-can-the-kremlin-not-tell-the-truth/,2018-01-07,news
The current Russian regime clearly is unable to perform a similar step with respect to the BUK missile which hit MH-17 and the Russian media not only let it get away with this but even transmitted the counter-narratives designed to cause confusion in the post-modern and perspectivist news space”.,https://euvsdisinfo.eu/flight-mh17-why-can-the-kremlin-not-tell-the-truth/,2018-01-07,news
A recurrent pro-Kremlin narrative claiming that Russia shut down all its chemical weapons programmes.,https://euvsdisinfo.eu/report/russia-has-destroyed-its-chemical-weapons-arsenal-while-the-us-has-not,2021-10-06,claim
A conspiracy theory presented without any supporting evidence and recurring pro-Kremlin disinformation narrative about the Ukrainian Orthodox Church.,https://euvsdisinfo.eu/report/greek-church-recognised-ukrainian-autocephaly-under-pressure,2019-11-22,claim
"Conspiracy theory, consistent with recurring pro-Kremlin disinformation narrative about the Western dominance.",https://euvsdisinfo.eu/report/post-soviet-countries-are-feudal-principalities-governed-by-the-west,2019-04-01,claim
"“Moscow’s superiority and the helplessness of the West”
Alexander Morozov, political scientist, Boris Nemtsov Academic Center, Prague:
‘Two narratives are developing simultaneously.",https://euvsdisinfo.eu/the-information-boomerang-returns/,2020-03-21,news
"On the other hand, a narrative of “global solidarity” has begun to work in the Kremlin media, as the Russian government begins to take the same measures as the European governments.",https://euvsdisinfo.eu/the-information-boomerang-returns/,2020-03-21,news
"The Kremlin media will now create a mix of these two narratives, along the following lines: Russian authorities calmly and successfully fight the virus; but in Europe and the USA, governments create hysteria, making mistakes that cause criticism from the side of the citizens.",https://euvsdisinfo.eu/the-information-boomerang-returns/,2020-03-21,news
"For the external audience, the narrative will move in two directions: it will address European and other governments with a proposal of partnership and participation of Moscow in global solidarity that cannot be turned down; but on the other hand, it will speak to those audiences in Europe which are looking for “alternative opinions” regarding their own governments.",https://euvsdisinfo.eu/the-information-boomerang-returns/,2020-03-21,news
"A narrative well in place ahead of the major Russian military exercise scheduled for September, Zapad 2021.",https://euvsdisinfo.eu/hushing-up-is-also-lying/,2021-07-22,news
"Recurrent pro-Kremlin disinformation narrative framing any popular protest as a colour revolution, and accusing the West of attempting to destabilise Kyrgyzstan.",https://euvsdisinfo.eu/report/moscow-prevented-colour-revolution-kyrgyzstan,2020-10-12,claim
Recurrent pro-Kremlin disinformation narrative denying any involvement of Russia in the Donbas conflict.,https://euvsdisinfo.eu/report/russia-has-nothing-to-do-with-the-parties-involved-in-the-conflict-in-eastern-ukraine,2021-08-24,claim
A recurring narrative about Nazi Ukraine.,https://euvsdisinfo.eu/report/glorification-of-nazism-in-ukraine-is-taken-to-the-next-level,2021-09-13,claim
And the narrative about secret US military labs in Russia’s neighbourhood spreading all sorts of diseases is so prevalent that around 20% of Georgians believe it to be true in case of the Lugar lab in Tbilisi. (,https://euvsdisinfo.eu/conspiratorial-virus/,2020-01-30,news
"Pro-Kremlin disinformation narratives about Europe suffocating under the onslaught of migration work in Georgian as well as in Belarusian, Armenian, Czech, and even Arabic.",https://euvsdisinfo.eu/fighting-the-disinformation-virus-georgia-edition/,2019-11-21,news
Pushing narratives about the concealment of secret underlying agendas and agreements is a central element of pro-Kremlin propaganda and thereby a case of where we see a strong degree of overlap between conspiracy theory and the pro-Kremlin disinformation campaign.,https://euvsdisinfo.eu/everyone-against-russia-conspiracy-theories-on-the-rise-in-russian-media/,2018-05-22,news
"A recurrent pro-Kremlin disinformation narrative, part of a disinformation campaign on the coronavirus pandemic.",https://euvsdisinfo.eu/report/promoting-covid-19-west-achieve-great-reset,2020-12-22,claim
"In an attempt to cover up these inconvenient facts, pro-Kremlin outlets try their best to dominate the media sphere with narratives that fit the Kremlin’s worldview.",https://euvsdisinfo.eu/the-kremlin-this-week-lets-hate-poland/,2020-01-23,news
"While this narrative contradicts historical documents, it is still used to erode the historical significance of the Ribbentrop-Molotov Pact and thus show the USSR in better light.",https://euvsdisinfo.eu/the-kremlin-this-week-lets-hate-poland/,2020-01-23,news
"For heavy consumers of disinformation, it’s clear that the historical narratives fit perfectly into the system of disinformation used nowadays.",https://euvsdisinfo.eu/the-kremlin-this-week-lets-hate-poland/,2020-01-23,news
"Obviously, this generous subsidy can allow the state-controlled TV stations to develop and refine those formats that can strengthen the impact of pro-Kremlin narratives on public opinion.",https://euvsdisinfo.eu/the-role-of-talk-shows-on-pro-kremlin-tv/,2017-06-08,news
"With the Kremlin’s behaviour in Ukraine having resulted in condemnation and sanctions from the international community, the Ukraine narrative remains a very high, if not the highest priority in the Kremlin’s media narrative, at least judging from the scope of attention Ukraine gets in the talk shows.",https://euvsdisinfo.eu/the-role-of-talk-shows-on-pro-kremlin-tv/,2017-06-08,news
"A recurring pro-Kremlin disinformation narrative about the war in Ukraine, claiming that Russia is not part of the conflict in Donbas and that Russia has nothing to do with the war in Eastern Ukraine.",https://euvsdisinfo.eu/report/russia-is-not-a-part-of-the-conflict-in-donbas-and-cannot-fulfill-the-minsk-agreements,2019-11-27,claim
Read similar narratives about Ukraine's role in the conflict and the Minsk Agreements.,https://euvsdisinfo.eu/report/russia-is-not-a-part-of-the-conflict-in-donbas-and-cannot-fulfill-the-minsk-agreements,2019-11-27,claim
"Swedish authorities also went on the record with a comment: Speaking to the Swedish daily newspaper Aftonbladet, Michael Tofvesson, head of the unit at the Swedish Civil Contingencies Agency, MSB, said: “We see a pattern where there is a negative narrative about Sweden”.",https://euvsdisinfo.eu/russian-tv-offers-money-for-staged-action-in-sweden/,2017-03-08,news
"Readers of the Disinformation Review will recall several occasions when biased reporting and disinformation about Sweden has been used to promote the pro-Kremlin narrative about Europe falling apart, see for instance here and here.",https://euvsdisinfo.eu/russian-tv-offers-money-for-staged-action-in-sweden/,2017-03-08,news
"However, in some cases, stories about Denmark have been used in pro-Kremlin disinformation to support a general narrative about Europe as a place in moral and political decay.",https://euvsdisinfo.eu/trolls-in-your-feed/,2019-06-26,news
"In addition, narratives about Syria from RT and Sputnik have been able to penetrate reporting in Danish media outlets.",https://euvsdisinfo.eu/trolls-in-your-feed/,2019-06-26,news
Recurrent disinformation narrative on the White Helmets.,https://euvsdisinfo.eu/report/nobody-talk-about-the-white-helmets-no-more-because-now-everyone-knows-they-faked-everything,2020-11-03,claim
"The overall narrative has been that it is now possible to let a reset happen without concessions on Russia’s side, i.e. without recognising that the Kremlin has severely undermined the security architecture in Europe by annexing Crimea and by destabilising its Ukrainian neighbour.",https://euvsdisinfo.eu/the-zombie-box/,2016-12-02,news
"If Mr. Grazhdankin is right in his analysis, we will have to acknowledge that the pro-Kremlin narrative about Russia as a re-established super power has had some degree of success, at least among the Russians themselves; in spite of, and perhaps as a compensation for, an economy in decline.",https://euvsdisinfo.eu/the-zombie-box/,2016-12-02,news
"This image and the below image: Global Voices)
“Maybe we helped a bit with WikiLeaks”
Although Russia’s political leaders had denied active Russian involvement in the American election campaign, Kremlin-loyal commentator Sergey Markov suggested that Russia could claim at least a part of the credit for an outcome that confirmed the Russian narrative about a deep crisis in Western societies. “",https://euvsdisinfo.eu/people-are-tired/,2016-11-11,news
"Accompanied by recent military build-up near the Ukrainian border and aggressive rhetoric in general, this narrative literally shows how, according to the Kremlin, some states are in the sphere of Russia’s influence and thus have no right to practice self-defence.",https://euvsdisinfo.eu/who-are-against-russia-this-week/,2021-05-20,news
"As disinformation narratives like this appear with a certain regularity, we even made a video about one of the most targeted laboratories: the Lugar Lab in Georgia.",https://euvsdisinfo.eu/who-are-against-russia-this-week/,2021-05-20,news
"Moreover, this narrative also intends to deflect any Russian responsibility in the escalation of tensions that took place on the Russian-Ukrainian border in the spring of 2021.",https://euvsdisinfo.eu/who-are-against-russia-this-week/,2021-05-20,news
"A common pro-Kremlin narrative on “lost sovereignty” - in the case of Poland, this country is often presented as a “puppet-state” of the United States, EU or Germany, which fully control the domestic and foreign policy of this country.",https://euvsdisinfo.eu/report/poland-is-not-perceived-as-a-country-which-has-independent-foreign-policy,2020-02-05,claim
"While in the MENA region disinformation narratives are not yet at play given the delayed COVID-19 second wave, in Syria the regime continues to leverage COVID-19 to advance its political agenda through recurring disinformation on the EU sanctions.",https://euvsdisinfo.eu/eeas-special-report-update-short-assessment-of-narratives-and-disinformation-around-the-covid-19-pandemic-update-may-november/,2020-12-02,news
"If in earlier reporting periods, pro-Kremlin media cast doubts on EU actions and solidarity in response to COVID-19, now the main narrative shifted towards vaccines.",https://euvsdisinfo.eu/eeas-special-report-update-short-assessment-of-narratives-and-disinformation-around-the-covid-19-pandemic-update-may-november/,2020-12-02,news
"Throughout the summer, conspiratorial narratives such as the virus being a laboratory creation or a tool of globalist elites for wrecking economic havoc continued to fade[3].",https://euvsdisinfo.eu/eeas-special-report-update-short-assessment-of-narratives-and-disinformation-around-the-covid-19-pandemic-update-may-november/,2020-12-02,news
Triumphant narratives[4] about Russia’s Sputnik V vaccine replaced them.,https://euvsdisinfo.eu/eeas-special-report-update-short-assessment-of-narratives-and-disinformation-around-the-covid-19-pandemic-update-may-november/,2020-12-02,news
"In some cases, this lead to conspiracy narratives that the vaccine will “turn people into monkeys”[8].",https://euvsdisinfo.eu/eeas-special-report-update-short-assessment-of-narratives-and-disinformation-around-the-covid-19-pandemic-update-may-november/,2020-12-02,news
"To reach domestic audiences, Russian state-controlled media employ similar narratives as for audiences abroad: according to these, China[9] and Russia are handling the pandemic situation better than EU member states[10] or Ukraine, with safe and effective vaccines[11] at an advanced stage of development, which are sought after by other countries[12].",https://euvsdisinfo.eu/eeas-special-report-update-short-assessment-of-narratives-and-disinformation-around-the-covid-19-pandemic-update-may-november/,2020-12-02,news
"Overall, Google Trends data offers indicators that online public interest in COVID-19 related information appears to be substantially lower compared to the beginning of the pandemic.[21]
With the Middle-East and North-Africa (MENA) region potentially experiencing a delayed second COVID-19 wave compared to Europe, it is likely to assume a similarly delayed resurge of disinformation and a prevalence of vaccines-related disinformation narratives, if any.",https://euvsdisinfo.eu/eeas-special-report-update-short-assessment-of-narratives-and-disinformation-around-the-covid-19-pandemic-update-may-november/,2020-12-02,news
"In line with a recurring narrative, the regime’s representative to the UN blamed the EU and the US for allegedly hindering through their sanctions the medical assistance to Syrians in the COVID-19 context as well as the reconstruction process and the returns of refugees.[22]
A variety of false information and misleading narratives on COVID-19 have been circulating in the Western Balkans media environment since mid-March.",https://euvsdisinfo.eu/eeas-special-report-update-short-assessment-of-narratives-and-disinformation-around-the-covid-19-pandemic-update-may-november/,2020-12-02,news
"Many of these included a supportive narrative focused on children and the need to protect them, targeting family audiences.[23] Across the region, claims that COVID-19 is a ‘fraud’ and that face masks are ‘harmful’ were shared widely on platforms such as Facebook, often in the form of sweeping statements based on ‘twisted’ statistical data.[24] Debunking efforts were undertaken by fact-checking organisations[25] and, occasionally, also by traditional news outlets[26].",https://euvsdisinfo.eu/eeas-special-report-update-short-assessment-of-narratives-and-disinformation-around-the-covid-19-pandemic-update-may-november/,2020-12-02,news
"In this period, claims about the ineffectiveness or risk[28] of wearing masks, different ‘natural methods’ to prevent or test for[29] COVID-19 and some conspiracy narratives (like masks carrying tracking chips[30]) were debunked.",https://euvsdisinfo.eu/eeas-special-report-update-short-assessment-of-narratives-and-disinformation-around-the-covid-19-pandemic-update-may-november/,2020-12-02,news
"Narratives shared by Chinese state-controlled media, but also by Chinese officials on Twitter notably[51] emphasize China’s response to COVID-19 as a deep commitment to multilateralism.",https://euvsdisinfo.eu/eeas-special-report-update-short-assessment-of-narratives-and-disinformation-around-the-covid-19-pandemic-update-may-november/,2020-12-02,news
"The need for better access to platform data to estimate impact, spread and trends of misinformation narratives remains largely unaddressed, despite privacy compliant proposals like the creation of a “Google Trends” for social media platforms[66].",https://euvsdisinfo.eu/eeas-special-report-update-short-assessment-of-narratives-and-disinformation-around-the-covid-19-pandemic-update-may-november/,2020-12-02,news
Brussels-based NGO EU Disinfo Lab found[69] that “[i]t is possible to monetise disinformation or conspiratorial narratives on crowdfunding platforms both indirectly and directly” and that while “[s]ome crowdfunding platforms have taken action against instances of monetisation attempts connected to COVID-19 disinformation and scams […] these actions seem incoherent and are not regularly enforced.”,https://euvsdisinfo.eu/eeas-special-report-update-short-assessment-of-narratives-and-disinformation-around-the-covid-19-pandemic-update-may-november/,2020-12-02,news
"The claim that external actors, including the EU and the US are stirring up protests in Russia's neighborhood is a recurring pro-Kremlin disinformation narrative.",https://euvsdisinfo.eu/report/eu-funds-the-protests-in-kyrgyzstan-in-exchange-for-valuable-minerals,2020-10-06,claim
Recurring disinformation narrative about the Istanbul Convention.,https://euvsdisinfo.eu/report/authorities-initiate-a-referendum-to-ratify-the-istanbul-convention,2020-02-11,claim
"It fits into a larger narrative claiming Westerners flee to Russia, escaping from the moral abyss in the West.",https://euvsdisinfo.eu/i-want-to-ride-my-bicycle/,2021-05-05,news
Recurring pro-Kremlin narrative about Ukraine violating Russian territorial integrity in the Sea of Azov.,https://euvsdisinfo.eu/report/the-ukrainian-navy-violated-russian-borders-in-the-azov-sea,2019-01-14,claim
"Clearly, recent “temnik” guidelines from the Kremlin have demanded that dominating Russian media follow a narrative about the opposition as physically dangerous for young Russians.",https://euvsdisinfo.eu/childrens-toy-part-of-conspiracy-against-the-kremlin/,2017-07-19,news
"Hungary: A Case Study on Targeted Pro-Kremlin Disinformation
A century-old peace treaty is giving the pro-Kremlin media ammunition in spreading divisions and polarising narratives targeting Hungarians and Ukrainians alike.",https://euvsdisinfo.eu/exploiting-the-trauma-of-trianon/,2021-06-07,news
"Similar narratives are also present when the claims are not focusing on Ukraine: a Hungarian Facebook page that regularly shares pro-Kremlin content from RT and Sputnik rejoiced when President Putin said that if the issue of Kaliningrad was discussed, the question of Hungary and Romania would have to be revisited as well:

If someone is willing to reconsider the results of World War II, let us discuss this.",https://euvsdisinfo.eu/exploiting-the-trauma-of-trianon/,2021-06-07,news
"On other occasions, narratives spread by pro-Kremlin media implicitly suggest to their Hungarian readers that there is a chance for Transcarpathia to return to Hungary.",https://euvsdisinfo.eu/exploiting-the-trauma-of-trianon/,2021-06-07,news
"In some of these cases, pro-Kremlin portals repeat popular Hungarian narratives regarding Trianon, but solely in the context of Crimea, without mentioning the post-WWI treaties.",https://euvsdisinfo.eu/exploiting-the-trauma-of-trianon/,2021-06-07,news
"As a result, pro-Kremlin narratives aim to improve Hungarians’ sentiments on Moscow’s aggression and turn them against Ukraine.",https://euvsdisinfo.eu/exploiting-the-trauma-of-trianon/,2021-06-07,news
This claim exploits the coronavirus pandemic to push a recurring pro-Kremlin disinformation narrative about the EU's alleged imminent collapse.,https://euvsdisinfo.eu/report/european-project-is-dead-eu-is-incapable-of-handling-the-coronavirus-crisis,2020-04-02,claim
"One of the main pro-Kremlin narratives relating to the pandemic is that the EU is failing to cope with the COVID-19 crisis and, as a result, is disintegrating, together with the border-free Schengen area.",https://euvsdisinfo.eu/report/european-project-is-dead-eu-is-incapable-of-handling-the-coronavirus-crisis,2020-04-02,claim
"In particular, this narrative of failure and lack of EU solidarity is trending after the delivery of Russian aid to Italy.",https://euvsdisinfo.eu/report/european-project-is-dead-eu-is-incapable-of-handling-the-coronavirus-crisis,2020-04-02,claim
"This narrative also aims to pit EU member states against each other in an attempt to undermine European solidarity, another recurring pro-Kremlin disinformation tactic.",https://euvsdisinfo.eu/report/european-project-is-dead-eu-is-incapable-of-handling-the-coronavirus-crisis,2020-04-02,claim
Conspiracy theory advancing recurring pro-Kremlin disinformation narrative about the Lugar Laboratory.,https://euvsdisinfo.eu/report/us-is-developing-secret-biological-weapon-in-georgia,2019-09-10,claim
"Preparing the Attack
The pro-Kremlin outlet Alt-Info nurtured anti-Western narratives.",https://euvsdisinfo.eu/champions-of-violence/,2021-08-03,news
"Other local pro-Kremlin outlets joined Alt-Info in disseminating these narratives, including Obieqtivi TV, affiliated with the Kremlin-friendly Alliance of Patriots party; Georgia and the World; and News Front Georgia.",https://euvsdisinfo.eu/champions-of-violence/,2021-08-03,news
"Alongside these narratives, pro-Kremlin media outlets also amplified messages developed by a number of pro-Kremlin politicians (examples here and here) that the West is fighting against Georgian identity, its traditions, the Orthodox Church, and the family as an institution, i.e., the core values of the majority of the Georgian people (see examples here and here).",https://euvsdisinfo.eu/champions-of-violence/,2021-08-03,news
"Calling for Violence
After 5 July, additional narratives blamed the West for escalating the situation in Georgia and causing civil unrest.",https://euvsdisinfo.eu/champions-of-violence/,2021-08-03,news
Recurring pro-Kremlin disinformation narrative trying to discredit the existence of NATO as well as statehood of Ukraine.,https://euvsdisinfo.eu/report/ukraine-will-not-secure-itself-by-becoming-a-member-of-nato,2019-07-05,claim
Recurring pro-Kremlin disinformation narrative on Ukraine and the war in Donbas.,https://euvsdisinfo.eu/report/zelensky-to-create-death-camps-in-donbas,2020-11-15,claim
"“A Traitor and a Tool”
The second mission, defaming Navalny, oscillates between an attempt to demonise him and introducing a competing narrative, describing him as a “tool”.",https://euvsdisinfo.eu/navalny-cubs-and-mommys-revolutionaries/,2021-02-04,news
"These instructions include guidelines on political narratives, what should be covered and whom the outlets should not talk about.",https://euvsdisinfo.eu/three-things-you-should-know-about-rt-and-sputnik/,2017-09-11,news
"This message is a part of the Kremlin’s widespread disinformation narrative about anti-Russian Polish, EU and US activities.",https://euvsdisinfo.eu/report/poland-and-the-us-are-promoting-russophobic-hysteria,2021-11-23,claim
"The Baltic Pipe is scheduled for completion in 2022; but the pro-Kremlin disinformation has already started building alternative narrative against it, reaching for economic, geopolitical and even Russophobic ‘’arguments’’.",https://euvsdisinfo.eu/the-baltic-pipe-case-disinformation-at-the-service-of-the-kremlins-energy-policy/,2020-03-02,news
"In another version of this narrative, the Baltic Pipe is portrayed as bringing about unintended consequences for other countries’ energy security, including a Europe-wide “disruption in the gas balance” and raised costs for other European countries and citizens.",https://euvsdisinfo.eu/the-baltic-pipe-case-disinformation-at-the-service-of-the-kremlins-energy-policy/,2020-03-02,news
"At the same time, none of the articles pushing this narrative gained a lot of attention in the German language social media.",https://euvsdisinfo.eu/the-baltic-pipe-case-disinformation-at-the-service-of-the-kremlins-energy-policy/,2020-03-02,news
